#TF1
#Name: Neutron efficiency
#Parent pad: 0
#range: (0, 10)
#Pts: 10000
#Line_color: 1, 0, 0
#Line_style: solid
#Line_width: 2
#x, f(x)
0.664, 10.9474
0.665, 10.9463
0.666, 10.9453
0.667, 10.9443
0.668, 10.9433
0.669, 10.9422
0.67, 10.9412
0.671, 10.9401
0.672, 10.939
0.673, 10.9379
0.674, 10.9369
0.675, 10.9358
0.676, 10.9347
0.677, 10.9336
0.678, 10.9325
0.679, 10.9314
0.68, 10.9303
0.681, 10.9292
0.682, 10.9281
0.683, 10.9269
0.684, 10.9258
0.685, 10.9247
0.686, 10.9235
0.687, 10.9224
0.688, 10.9212
0.689, 10.9201
0.69, 10.919
0.691, 10.9178
0.692, 10.9166
0.693, 10.9154
0.694, 10.9142
0.695, 10.9131
0.696, 10.9119
0.697, 10.9107
0.698, 10.9095
0.699, 10.9083
0.7, 10.9072
0.701, 10.9059
0.702, 10.9047
0.703, 10.9035
0.704, 10.9023
0.705, 10.901
0.706, 10.8998
0.707, 10.8986
0.708, 10.8974
0.709, 10.8961
0.71, 10.8949
0.711, 10.8937
0.712, 10.8924
0.713, 10.8911
0.714, 10.8899
0.715, 10.8886
0.716, 10.8873
0.717, 10.8861
0.718, 10.8848
0.719, 10.8836
0.72, 10.8823
0.721, 10.881
0.722, 10.8797
0.723, 10.8784
0.724, 10.8771
0.725, 10.8758
0.726, 10.8745
0.727, 10.8732
0.728, 10.8719
0.729, 10.8706
0.73, 10.8694
0.731, 10.868
0.732, 10.8667
0.733, 10.8654
0.734, 10.8641
0.735, 10.8627
0.736, 10.8614
0.737, 10.8601
0.738, 10.8588
0.739, 10.8574
0.74, 10.8561
0.741, 10.8547
0.742, 10.8534
0.743, 10.852
0.744, 10.8507
0.745, 10.8493
0.746, 10.848
0.747, 10.8466
0.748, 10.8453
0.749, 10.8439
0.75, 10.8426
0.751, 10.8412
0.752, 10.8398
0.753, 10.8384
0.754, 10.8371
0.755, 10.8357
0.756, 10.8343
0.757, 10.8329
0.758, 10.8316
0.759, 10.8302
0.76, 10.8288
0.761, 10.8274
0.762, 10.826
0.763, 10.8246
0.764, 10.8232
0.765, 10.8218
0.766, 10.8204
0.767, 10.819
0.768, 10.8176
0.769, 10.8162
0.77, 10.8148
0.771, 10.8134
0.772, 10.812
0.773, 10.8106
0.774, 10.8091
0.775, 10.8077
0.776, 10.8063
0.777, 10.8049
0.778, 10.8035
0.779, 10.802
0.78, 10.8006
0.781, 10.7992
0.782, 10.7978
0.783, 10.7963
0.784, 10.7949
0.785, 10.7934
0.786, 10.792
0.787, 10.7906
0.788, 10.7891
0.789, 10.7877
0.79, 10.7863
0.791, 10.7848
0.792, 10.7834
0.793, 10.7819
0.794, 10.7805
0.795, 10.779
0.796, 10.7776
0.797, 10.7761
0.798, 10.7747
0.799, 10.7732
0.8, 10.7718
0.801, 10.7703
0.802, 10.7688
0.803, 10.7674
0.804, 10.7659
0.805, 10.7644
0.806, 10.763
0.807, 10.7615
0.808, 10.7601
0.809, 10.7586
0.81, 10.7571
0.811, 10.7556
0.812, 10.7542
0.813, 10.7527
0.814, 10.7512
0.815, 10.7497
0.816, 10.7483
0.817, 10.7468
0.818, 10.7453
0.819, 10.7438
0.82, 10.7424
0.821, 10.7409
0.822, 10.7394
0.823, 10.7379
0.824, 10.7364
0.825, 10.7349
0.826, 10.7335
0.827, 10.732
0.828, 10.7305
0.829, 10.729
0.83, 10.7275
0.831, 10.726
0.832, 10.7245
0.833, 10.723
0.834, 10.7215
0.835, 10.72
0.836, 10.7185
0.837, 10.7171
0.838, 10.7156
0.839, 10.7141
0.84, 10.7126
0.841, 10.7111
0.842, 10.7096
0.843, 10.7081
0.844, 10.7066
0.845, 10.7051
0.846, 10.7036
0.847, 10.7021
0.848, 10.7006
0.849, 10.6991
0.85, 10.6976
0.851, 10.696
0.852, 10.6945
0.853, 10.693
0.854, 10.6915
0.855, 10.69
0.856, 10.6885
0.857, 10.687
0.858, 10.6855
0.859, 10.684
0.86, 10.6825
0.861, 10.681
0.862, 10.6795
0.863, 10.6779
0.864, 10.6764
0.865, 10.6749
0.866, 10.6734
0.867, 10.6719
0.868, 10.6704
0.869, 10.6689
0.87, 10.6674
0.871, 10.6658
0.872, 10.6643
0.873, 10.6628
0.874, 10.6613
0.875, 10.6598
0.876, 10.6583
0.877, 10.6567
0.878, 10.6552
0.879, 10.6537
0.88, 10.6522
0.881, 10.6507
0.882, 10.6492
0.883, 10.6476
0.884, 10.6461
0.885, 10.6446
0.886, 10.6431
0.887, 10.6416
0.888, 10.64
0.889, 10.6385
0.89, 10.637
0.891, 10.6355
0.892, 10.634
0.893, 10.6324
0.894, 10.6309
0.895, 10.6294
0.896, 10.6279
0.897, 10.6263
0.898, 10.6248
0.899, 10.6233
0.9, 10.6218
0.901, 10.6203
0.902, 10.6187
0.903, 10.6172
0.904, 10.6157
0.905, 10.6142
0.906, 10.6126
0.907, 10.6111
