# Ex(MeV)	BGT(1/MeV)	J*2
69.217	0.000119	3
69.673	0.000178	5
70.29	0.000178	7
72.454	5.9e-5	3
72.738	0.0	3
73.033	5.9e-5	5
73.575	5.9e-5	7
73.875	0.0	5
74.751	0.0	7
75.587	0.0	3
76.279	5.9e-5	5
76.771	5.9e-5	7
