 2xJf      Ef      2xJi     Ei       Ex       Mred.    B(EM )->   B(EM)<-   Mom.
  7( 135)  -48.942  5(   1)  -69.579 -20.637    0.0002    0.0000    0.0000    0.0000
  7( 136)  -44.925  5(   1)  -69.579 -24.654    0.0002    0.0000    0.0000    0.0000
  7( 137)  -49.388  5(   1)  -69.579 -20.192    0.0002    0.0000    0.0000    0.0000
  7( 138)  -49.063  5(   1)  -69.579 -20.516    0.0002    0.0000    0.0000    0.0000
  7( 139)  -48.821  5(   1)  -69.579 -20.758    0.0002    0.0000    0.0000    0.0000
  7( 140)  -52.348  5(   1)  -69.579 -17.231    0.0002    0.0000    0.0000    0.0000
  7( 141)  -52.566  5(   1)  -69.579 -17.013    0.0002    0.0000    0.0000    0.0000
  7( 142)  -52.361  5(   1)  -69.579 -17.218    0.0002    0.0000    0.0000    0.0000
  7( 143)  -51.949  5(   1)  -69.579 -17.631    0.0002    0.0000    0.0000    0.0000
  7( 144)  -51.270  5(   1)  -69.579 -18.309    0.0001    0.0000    0.0000    0.0000
  7( 145)  -47.877  5(   1)  -69.579 -21.703    0.0001    0.0000    0.0000    0.0000
  7( 146)  -56.071  5(   1)  -69.579 -13.508    0.0001    0.0000    0.0000    0.0000
  7( 147)  -57.302  5(   1)  -69.579 -12.277    0.0001    0.0000    0.0000    0.0000
  7( 148)  -52.064  5(   1)  -69.579 -17.515    0.0001    0.0000    0.0000    0.0000
  7( 149)  -48.360  5(   1)  -69.579 -21.219    0.0001    0.0000    0.0000    0.0000
  7( 150)  -47.958  5(   1)  -69.579 -21.621    0.0000    0.0000    0.0000    0.0000
  7( 151)  -47.293  5(   1)  -69.579 -22.286    0.0000    0.0000    0.0000    0.0000
  7( 152)  -47.574  5(   1)  -69.579 -22.005    0.0001    0.0000    0.0000    0.0000
  7( 153)  -49.808  5(   1)  -69.579 -19.771    0.0001    0.0000    0.0000    0.0000
  7( 154)  -49.594  5(   1)  -69.579 -19.985    0.0001    0.0000    0.0000    0.0000
  7( 155)  -47.267  5(   1)  -69.579 -22.312    0.0001    0.0000    0.0000    0.0000
  7( 156)  -46.961  5(   1)  -69.579 -22.618    0.0000    0.0000    0.0000    0.0000
  7( 157)  -42.143  5(   1)  -69.579 -27.436    0.0001    0.0000    0.0000    0.0000
  7( 158)  -45.971  5(   1)  -69.579 -23.609    0.0000    0.0000    0.0000    0.0000
  7( 159)  -47.126  5(   1)  -69.579 -22.453    0.0001    0.0000    0.0000    0.0000
  7( 160)  -50.418  5(   1)  -69.579 -19.161    0.0001    0.0000    0.0000    0.0000
  7( 161)  -50.667  5(   1)  -69.579 -18.912    0.0000    0.0000    0.0000    0.0000
